---,ItemName,HowToInteractText,AttachmentSocketName,MaxStack
Item.Id.Consumables.Heal.Medicine,"NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Consumables.Heal.Medicine_ItemName"", ""Medicine"")","NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Consumables.Heal.Medicine_HowToInteractText"", ""Pick Up"")","GripPoint","10"
Item.Id.Consumables.Heal.Tangyak,"NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Consumables.Heal.Tangyak_ItemName"", ""Tangyak"")","NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Consumables.Heal.Tangyak_HowToInteractText"", ""Pick Up"")","GripPoint","10"
Item.Id.Material.ConsumablesMaterial.GoodHerbs,"NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Material.ConsumablesMaterial.GoodHerbs_ItemName"", ""Good Herbs"")","NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Material.ConsumablesMaterial.GoodHerbs_HowToInteractText"", ""Pick Up"")","GripPoint","99"
Item.Id.Material.ConsumablesMaterial.GoodPear,"NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Material.ConsumablesMaterial.GoodPear_ItemName"", ""Good Pear"")","NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Material.ConsumablesMaterial.GoodPear_HowToInteractText"", ""Pick Up"")","GripPoint","99"
Item.Id.Material.ConsumablesMaterial.Herbs,"NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Material.ConsumablesMaterial.Herbs_ItemName"", ""Herbs"")","NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Material.ConsumablesMaterial.Herbs_HowToInteractText"", ""Pick Up"")","GripPoint","99"
Item.Id.Material.ConsumablesMaterial.OxGallStone,"NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Material.ConsumablesMaterial.OxGallStone_ItemName"", ""Ox Gall Stone"")","NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Material.ConsumablesMaterial.OxGallStone_HowToInteractText"", ""Pick Up"")","GripPoint","99"
Item.Id.Material.ConsumablesMaterial.Pear,"NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Material.ConsumablesMaterial.Pear_ItemName"", ""Pear"")","NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Material.ConsumablesMaterial.Pear_HowToInteractText"", ""Pick Up"")","GripPoint","99"
Item.Id.Material.ShipMaterials.GoodIronPlate,"NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Material.ShipMaterials.GoodIronPlate_ItemName"", ""Good Iron Plate"")","NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Material.ShipMaterials.GoodIronPlate_HowToInteractText"", ""Pick Up"")","GripPoint","99"
Item.Id.Material.ShipMaterials.GoodWoodenPlank,"NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Material.ShipMaterials.GoodWoodenPlank_ItemName"", ""Good Wooden Plank"")","NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Material.ShipMaterials.GoodWoodenPlank_HowToInteractText"", ""Pick Up"")","GripPoint","99"
Item.Id.Material.ShipMaterials.GrapplingHook,"NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Material.ShipMaterials.GrapplingHook_ItemName"", ""Grappling Hook"")","NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Material.ShipMaterials.GrapplingHook_HowToInteractText"", ""Pick Up"")","GripPoint","99"
Item.Id.Material.ShipMaterials.IronPlate,"NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Material.ShipMaterials.IronPlate_ItemName"", ""Iron Plate"")","NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Material.ShipMaterials.IronPlate_HowToInteractText"", ""Pick Up"")","GripPoint","99"
Item.Id.Material.ShipMaterials.LuminousPearl,"NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Material.ShipMaterials.LuminousPearl_ItemName"", ""Luminous Pearl"")","NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Material.ShipMaterials.LuminousPearl_HowToInteractText"", ""Pick Up"")","GripPoint","99"
Item.Id.Material.ShipMaterials.WoodenPlank,"NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Material.ShipMaterials.WoodenPlank_ItemName"", ""Wooden Plank"")","NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Material.ShipMaterials.WoodenPlank_HowToInteractText"", ""Pick Up"")","GripPoint","99"
Item.Id.Material.SkillMaterial.EpicSkill,"NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Material.SkillMaterial.EpicSkill_ItemName"", ""Epic Skill"")","NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Material.SkillMaterial.EpicSkill_HowToInteractText"", ""Pick Up"")","GripPoint","99"
Item.Id.Material.SkillMaterial.LegendarySkill,"NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Material.SkillMaterial.LegendarySkill_ItemName"", ""Legendary Skill"")","NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Material.SkillMaterial.LegendarySkill_HowToInteractText"", ""Pick Up"")","GripPoint","99"
Item.Id.Material.SkillMaterial.RareSkill,"NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Material.SkillMaterial.RareSkill_ItemName"", ""Rare Skill"")","NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Material.SkillMaterial.RareSkill_HowToInteractText"", ""Pick Up"")","GripPoint","99"
Item.Id.Material.WeaponMaterial.GoodIron,"NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Material.WeaponMaterial.GoodIron_ItemName"", ""Good Iron"")","NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Material.WeaponMaterial.GoodIron_HowToInteractText"", ""Pick Up"")","GripPoint","99"
Item.Id.Material.WeaponMaterial.GoodWood,"NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Material.WeaponMaterial.GoodWood_ItemName"", ""Good Wood"")","NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Material.WeaponMaterial.GoodWood_HowToInteractText"", ""Pick Up"")","GripPoint","99"
Item.Id.Material.WeaponMaterial.Iron,"NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Material.WeaponMaterial.Iron_ItemName"", ""Iron"")","NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Material.WeaponMaterial.Iron_HowToInteractText"", ""Pick Up"")","GripPoint","99"
Item.Id.Material.WeaponMaterial.Wood,"NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Material.WeaponMaterial.Wood_ItemName"", ""Wood"")","NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Material.WeaponMaterial.Wood_HowToInteractText"", ""Pick Up"")","GripPoint","99"
Item.Id.Material.WeaponSpecialMaterial.EpicMaterial,"NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Material.WeaponSpecialMaterial.EpicMaterial_ItemName"", ""Epic Material"")","NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Material.WeaponSpecialMaterial.EpicMaterial_HowToInteractText"", ""Pick Up"")","GripPoint","99"
Item.Id.Material.WeaponSpecialRecipe.EpicRecipe,"NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Material.WeaponSpecialMaterial.EpicRecipe_ItemName"", ""Epic Recipe"")","NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Material.WeaponSpecialMaterial.EpicRecipe_HowToInteractText"", ""Pick Up"")","GripPoint","99"
Item.Id.Material.WeaponSpecialMaterial.LegendaryMaterial,"NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Material.WeaponSpecialMaterial.LegendaryMaterial_ItemName"", ""Legendary Material"")","NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Material.WeaponSpecialMaterial.LegendaryMaterial_HowToInteractText"", ""Pick Up"")","GripPoint","99"
Item.Id.Material.WeaponSpecialRecipe.LegendaryRecipe,"NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Material.WeaponSpecialMaterial.LegendaryRecipe_ItemName"", ""Legendary Recipe"")","NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Material.WeaponSpecialMaterial.LegendaryRecipe_HowToInteractText"", ""Pick Up"")","GripPoint","99"
Item.Id.Skill.Bombardment,"NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Skill.CannonBarrage_ItemName"", ""Cannon Barrage"")","NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Skill.CannonBarrage_HowToInteractText"", ""Pick Up"")","GripPoint","1"
Item.Id.Skill.GravityVortex,"NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Skill.CurrentGenerator_ItemName"", ""GravityVortex"")","NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Skill.CurrentGenerator_HowToInteractText"", ""Pick Up"")","GripPoint","1"
Item.Id.Skill.WaterBomb,"NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Skill.WaterBomb_ItemName"", ""Water Bomb"")","NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Skill.WaterBomb_HowToInteractText"", ""Pick Up"")","GripPoint","1"
Item.Id.Weapon.Bow.LongBow1,"NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Weapon.Bow.LongBow1_ItemName"", ""Long Bow 1"")","NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Weapon.Bow.LongBow1_HowToInteractText"", ""Pick Up"")","Bow","1"
Item.Id.Weapon.Bow.LongBow2,"NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Weapon.Bow.LongBow2_ItemName"", ""Long Bow 2"")","NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Weapon.Bow.LongBow2_HowToInteractText"", ""Pick Up"")","GripPoint","1"
Item.Id.Weapon.Bow.LongBow3,"NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Weapon.Bow.LongBow3_ItemName"", ""Long Bow 3"")","NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Weapon.Bow.LongBow3_HowToInteractText"", ""Pick Up"")","GripPoint","1"
Item.Id.Weapon.Bow.LongBow4,"NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Weapon.Bow.LongBow4_ItemName"", ""Long Bow 4"")","NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Weapon.Bow.LongBow4_HowToInteractText"", ""Pick Up"")","GripPoint","1"
Item.Id.Weapon.Bow.LongBow5,"NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Weapon.Bow.LongBow5_ItemName"", ""Long Bow 5"")","NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Weapon.Bow.LongBow5_HowToInteractText"", ""Pick Up"")","GripPoint","1"
Item.Id.Weapon.Bow.ShortBow1,"NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Weapon.Bow.ShortBow1_ItemName"", ""Short Bow 1"")","NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Weapon.Bow.ShortBow1_HowToInteractText"", ""Pick Up"")","GripPoint","1"
Item.Id.Weapon.Bow.ShortBow2,"NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Weapon.Bow.ShortBow2_ItemName"", ""Short Bow 2"")","NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Weapon.Bow.ShortBow2_HowToInteractText"", ""Pick Up"")","GripPoint","1"
Item.Id.Weapon.Bow.ShortBow3,"NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Weapon.Bow.ShortBow3_ItemName"", ""Short Bow 3"")","NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Weapon.Bow.ShortBow3_HowToInteractText"", ""Pick Up"")","GripPoint","1"
Item.Id.Weapon.Bow.ShortBow4,"NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Weapon.Bow.ShortBow4_ItemName"", ""Short Bow 4"")","NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Weapon.Bow.ShortBow4_HowToInteractText"", ""Pick Up"")","GripPoint","1"
Item.Id.Weapon.Bow.ShortBow5,"NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Weapon.Bow.ShortBow5_ItemName"", ""Short Bow 5"")","NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Weapon.Bow.ShortBow5_HowToInteractText"", ""Pick Up"")","GripPoint","1"
Item.Id.Weapon.Sword.SwordA1,"NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Weapon.Sword.SwordA1_ItemName"", ""Sword A 1"")","NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Weapon.Sword.SwordA1_HowToInteractText"", ""Pick Up"")","GripPoint","1"
Item.Id.Weapon.Sword.SwordA2,"NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Weapon.Sword.SwordA2_ItemName"", ""Sword A 2"")","NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Weapon.Sword.SwordA2_HowToInteractText"", ""Pick Up"")","GripPoint","1"
Item.Id.Weapon.Sword.SwordA3,"NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Weapon.Sword.SwordA3_ItemName"", ""Sword A 3"")","NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Weapon.Sword.SwordA3_HowToInteractText"", ""Pick Up"")","GripPoint","1"
Item.Id.Weapon.Sword.SwordA4,"NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Weapon.Sword.SwordA4_ItemName"", ""Sword A 4"")","NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Weapon.Sword.SwordA4_HowToInteractText"", ""Pick Up"")","GripPoint","1"
Item.Id.Weapon.Sword.SwordA5,"NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Weapon.Sword.SwordA5_ItemName"", ""Sword A 5"")","NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Weapon.Sword.SwordA5_HowToInteractText"", ""Pick Up"")","GripPoint","1"
Item.Id.Weapon.Sword.SwordB1,"NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Weapon.Sword.SwordB1_ItemName"", ""Sword B 1"")","NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Weapon.Sword.SwordB1_HowToInteractText"", ""Pick Up"")","GripPoint","1"
Item.Id.Weapon.Sword.SwordB2,"NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Weapon.Sword.SwordB2_ItemName"", ""Sword B 2"")","NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Weapon.Sword.SwordB2_HowToInteractText"", ""Pick Up"")","GripPoint","1"
Item.Id.Weapon.Sword.SwordB3,"NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Weapon.Sword.SwordB3_ItemName"", ""Sword B 3"")","NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Weapon.Sword.SwordB3_HowToInteractText"", ""Pick Up"")","GripPoint","1"
Item.Id.Weapon.Sword.SwordB4,"NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Weapon.Sword.SwordB4_ItemName"", ""Sword B 4"")","NSLOCTEXT(""ItemFeatureDataTable [CE4F9767908EFAB88519A3F55F9DFE96]"", ""Item.Id.Weapon.Sword.SwordB4_HowToInteractText"", ""Pick Up"")","GripPoint","1"
